command,cli_form,allowed_session_state,required_preconditions,session_revision_change,attempt_effect,stage_or_workspace_effect
workspace.init,podway init,workspace absent or repairable,valid Git worktree and safe .podway layout,n/a,none,initialize workspace database and identity
session.start,podway start,no session,valid procedure and nonempty task title,create revision 1,create first active attempt,first stage current and later stages pending
session.start_replace,podway start --replace,any existing session,confirmation plus existing session identity and revision,replace with revision 1,delete old session then create first active attempt,exclusive barrier replaces current task
item.check,podway check,running,active attempt and item revision,+1 when changed,set confirm true,current stage unchanged
item.uncheck,podway uncheck,running,active attempt and item revision,+1 when changed,clear confirm value,current stage unchanged
item.set,podway set,running,active attempt item revision and type-valid value,+1 when changed,set scalar item value,current stage unchanged
item.add,podway add,running,active attempt item revision and list constraints,+1 when changed,append list value,current stage unchanged
item.remove,podway remove,running,active attempt item revision and existing value unless ignored,+1 when changed,remove list value,current stage unchanged
item.attach,podway attach,running,active attempt item revision and valid artifact metadata,+1 when changed,set artifact metadata,current stage unchanged
item.clear,podway clear,running,active attempt and item revision,+1 when changed,clear item value,current stage unchanged
session.complete,podway complete,running,session revision active attempt all required items and no blockers,+1,complete current and create next unless final,current done and next current or session completed
session.skip,podway skip,running,session revision active attempt skip policy and reason,+1,skip current and create next,current skipped and next current or session completed
session.retry,podway retry,running,session revision active attempt and reason,+1,abandon current and create same-stage next attempt,current stage remains current
session.return,podway return,running,session revision active attempt allowed earlier stage and reason,+1,abandon current and create destination attempt,destination current and reached downstream redo
session.block,podway block,running,session revision active attempt and reason,+1,add open blocker,current stage derives blocked
session.unblock,podway unblock,running,session revision active attempt and current blocker,+1,resolve one or all current blockers,current or blocked derived state updates
session.cancel,podway cancel,running,session revision active attempt and reason,+1,abandon active,current stage abandoned and session cancelled
session.reopen,podway reopen,completed,session revision allowed destination and reason,+1,create destination active attempt,destination current and later reached stages redo
session.reset,podway reset,any existing session,confirmation session identity and revision,n/a because session deleted,delete all session attempts and values,preserve workspace initialization
workspace.reset_all,podway reset --all,any or unreadable workspace state,force confirmation and workspace identity when readable,n/a because database recreated,delete all task state,exclusive filesystem-marker protocol recreates workspace runtime
