command,cli_form,allowed_session_state,required_preconditions,session_revision_change,attempt_effect,graph_or_workspace_effect,result_schema
workspace.init,podway init,workspace absent or repairable,valid Git worktree and safe .podway layout,n/a,none,initialize workspace database and identity,none
session.start,podway start,no session,workspace UUID file-source expected Procedure digest valid v2 procedure and nonempty task title,create revision 1,create entry-node attempt,entry graph node active,podway.session-start-result/v2
session.start_replace,podway start --replace,any existing session,workspace UUID file-source expected Procedure digest confirmation session identity and revision,replace with revision 1,replace with entry-node attempt,exclusive barrier replaces current task,podway.session-start-result/v2
item.check,podway check,running,workspace UUID session ID active attempt and item revision,+1 when changed,set confirm true,active node unchanged,podway.item-mutation-result/v2
item.uncheck,podway uncheck,running,workspace UUID session ID active attempt and item revision,+1 when changed,clear confirm value,active node unchanged,podway.item-mutation-result/v2
item.set,podway set,running,workspace UUID session ID active attempt item revision and type-valid value,+1 when changed,set scalar item value,active node unchanged,podway.item-mutation-result/v2
item.add,podway add,running,workspace UUID session ID active attempt item revision and list constraints,+1 when changed,append list value,active node unchanged,podway.item-mutation-result/v2
item.remove,podway remove,running,workspace UUID session ID active attempt item revision and existing value unless ignored,+1 when changed,remove list value,active node unchanged,podway.item-mutation-result/v2
item.attach,podway attach,running,workspace UUID session ID active attempt item revision and valid artifact metadata,+1 when changed,set artifact metadata,active node unchanged,podway.item-mutation-result/v2
item.clear,podway clear,running,workspace UUID session ID active attempt and item revision,+1 when changed,clear item value,active node unchanged,podway.item-mutation-result/v2
item.record_many,podway record --stdin,running,workspace UUID session ID session revision active attempt 1..64 unique item revisions and type-valid complete values,+1 when any item changes,atomically record or clear all selected items in item-ID order,active node unchanged,podway.item-record-many-result/v1
session.complete,podway complete,running action node,workspace UUID session ID session revision active attempt required items blockers evidence and goal checks,+1,complete active attempt,advance through declared edge or finish,podway.stage-transition-result/v2
session.skip,podway skip,running skippable action node,workspace UUID session ID session revision active attempt and required reason,+1,skip active attempt,advance through declared edge or finish,podway.stage-transition-result/v2
session.retry,podway retry,running action node,workspace UUID session ID session revision active attempt and reason,+1,abandon and recreate same-node attempt,active graph node unchanged,podway.stage-transition-result/v2
session.block,podway block,running action node,workspace UUID session ID session revision active attempt and reason,+1,add open blocker,active node derives blocked,podway.stage-transition-result/v2
session.unblock,podway unblock,running action node,workspace UUID session ID session revision active attempt and current blocker,+1,resolve one or all current blockers,active or blocked derived state updates,podway.stage-transition-result/v2
session.cancel,podway cancel,running,workspace UUID session ID session revision active attempt and reason,+1,abandon active attempt,session becomes cancelled,podway.stage-transition-result/v2
session.reset,podway reset,any existing session,workspace UUID confirmation session identity and revision,n/a,delete session graph state,preserve workspace initialization,podway.stage-transition-result/v2
session.decide,podway decide,running decision node,workspace UUID session ID session revision active attempt option and reason policy,+1,record decision attempt,follow the selected declared route,podway.decision-result/v1
session.rework,podway rework,running or completed with allowed target,workspace UUID session ID session revision target node and reason,+1,create target-node attempt,apply declared rework invalidation,podway.rework-result/v1
goal.define,podway goal define,running goal-tracked session,workspace UUID session ID session revision goal revision and criteria,+1,none,define the session goal,podway.goal-definition-result/v1
goal.revise,podway goal revise,running goal-tracked session,workspace UUID session ID session revision goal revision and criteria,+1,none,revise goal and invalidate dependent assessments,podway.goal-revision-result/v1
goal.assess_criterion,podway goal assess-criterion,running goal-tracked session,workspace UUID session ID session revision goal revision criterion and status,+1,none,record criterion assessment,podway.criterion-assessment-result/v1
workspace.reset_all,podway reset --all,any or unreadable workspace state,force confirmation and workspace identity when readable,n/a,delete all task state,exclusive filesystem-marker protocol recreates workspace runtime,none
